All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturados,Insaturados,Ácidos,Bases,Alcoholes,Aminoderivados,Amidas,Aldehídos,Glúcidos,Aminoácidos,Alcaloides
"Oleic, (E)-",Ácido (E)-oleico,Lactic Acid,"El ácido láctico es un ácido orgánico que juega un papel crucial en varios procesos metabólicos, especialmente en la fermentación láctica, un proceso que no solo ocurre en las plantas sino también en los músculos humanos y en la producción de diversos alimentos. En las plantas, esta sustancia puede resultar de condiciones de bajo oxígeno y actúa en la regulación de procesos internos. En humanos, durante el ejercicio físico intenso cuando el oxígeno es escaso, el cuerpo convierte el glucógeno en energía, produciendo ácido láctico como subproducto, lo que contribuye a la fatiga muscular.

Además de su rol biológico, el ácido láctico tiene importantes aplicaciones industriales y comerciales. Es utilizado ampliamente como conservante y acidulante en la industria alimentaria, donde mejora el sabor y la seguridad de los alimentos al inhibir el crecimiento de bacterias patógenas. También es un ingrediente popular en productos de cuidado de la piel por sus propiedades humectantes y exfoliantes, ayudando a mejorar la textura y la hidratación de la piel.",,,,,Protocatechoic acid,,,,,,,,
DocosanoicAcid,Ácido Docosanoico,Lactose,"La lactosa es un tipo de azúcar natural que se encuentra principalmente en la leche de todos los mamíferos, incluidos los humanos, las vacas y las cabras. Este disacárido se compone de dos azúcares más simples: glucosa y galactosa. La lactosa es fundamental para los mamíferos jóvenes, ya que es una de las principales fuentes de energía y contribuye al desarrollo adecuado durante los primeros estadios de la vida.

En los humanos, la lactosa es digerida por la enzima lactasa, que la descompone en glucosa y galactosa para su absorción en el intestino. Sin embargo, algunas personas carecen de suficiente lactasa, un estado conocido como intolerancia a la lactosa, lo que puede llevar a síntomas digestivos adversos al consumir productos lácteos. Además de su rol biológico, la lactosa es ampliamente utilizada en la industria farmacéutica como excipiente en la fabricación de comprimidos y cápsulas, ayudando a formar la estructura del medicamento y facilitando la absorción de los principios activos. También se usa en la industria alimentaria como estabilizador y para mejorar la textura de los productos lácteos procesados.",,,,,Pyruvic Acid,,,,,,,,
alphatocopherol,Alfatocoferol ,L-Alanine,"La L-alanina es uno de los 20 aminoácidos esenciales que participan en la construcción de proteínas en todos los seres vivos. Este aminoácido no solo es abundante en las proteínas, donde ocupa aproximadamente el 7.8% de su composición, sino que también juega un papel vital en los procesos metabólicos tanto de plantas como de animales. En las plantas, la L-alanina se encuentra en las paredes celulares y está involucrada en la síntesis de algunas proteínas peptídicas específicas, que son esenciales para el desarrollo y la respuesta a estímulos ambientales de la planta.

En los seres humanos y otros animales, la L-alanina es crucial no solo en la síntesis de proteínas, sino también en el metabolismo de la glucosa. Durante el ejercicio intenso, la L-alanina se libera desde los músculos y se convierte en glucosa en el hígado, un proceso que ayuda a mantener los niveles de energía. Además, debido a su capacidad para ser transformada en glucosa rápidamente, la L-alanina es importante en contextos clínicos, especialmente en el tratamiento de enfermedades del hígado y en terapias nutricionales para pacientes que requieren alimentación intravenosa.",,,,,Heptadecanoic acid,,,,,,,,
Glycolic acid,Ácido Glicolico,lauric acid,"El ácido láurico es un ácido graso saturado que se encuentra predominantemente en el aceite de coco y en menor medida en el aceite de palma. Este ácido graso es conocido por sus propiedades antimicrobianas, lo que lo hace valioso tanto en la industria alimentaria como en la cosmética y la medicina. En los alimentos, el ácido láurico ayuda a prevenir la descomposición bacteriana, prolongando así la vida útil de los productos. En cosmética, se utiliza por su capacidad para hidratar y proteger la piel, contribuyendo a la fabricación de jabones y cremas que nutren la piel al mismo tiempo que combaten bacterias y otros patógenos. Su versatilidad lo convierte en un componente esencial en muchas formulaciones que buscan aprovechar sus beneficios saludables y protectores.",,,,,quinic acid(S),,,,,,,,
N-Methyl-L-proline,N-Metil-L-Prolina,L-Glutamic acid,"El ácido glutámico es un aminoácido esencial que desempeña un papel crucial en la formación de proteínas tanto en plantas como en animales. En las plantas, el ácido glutámico es fundamental para el metabolismo del nitrógeno, ayudando a la síntesis y el transporte de otros aminoácidos esenciales. Además, actúa como señalizador en la respuesta de las plantas a condiciones ambientales y estresores, facilitando la adaptación y el crecimiento. En la nutrición humana, el ácido glutámico es valorado por su función como neurotransmisor en el cerebro, donde facilita la transmisión de señales entre las células nerviosas y mejora las funciones cognitivas y la memoria. También se utiliza como potenciador del sabor en alimentos, conocido como glutamato monosódico (MSG), que realza el sabor umami, el quinto sabor básico.",,,,,Salicylic acid,,,,,,,,
Meso-Erythritol,Meso Ertritol,L-Isoleucine,"La L-isoleucina es un aminoácido esencial, lo que significa que no puede ser sintetizado por el cuerpo humano y debe obtenerse a través de la dieta. Este aminoácido es crucial para la síntesis de proteínas y desempeña un papel importante en el crecimiento y la reparación de los tejidos. En las plantas, la L-isoleucina interviene en varios procesos metabólicos, incluyendo la defensa contra plagas y la respuesta al estrés, ayudando a la planta a adaptarse a condiciones adversas. Además, participa en la regulación de procesos de desarrollo como el ordenamiento cromosomal durante la división celular. Por su estructura, es un isómero óptico de la leucina, otro aminoácido esencial, lo que significa que comparten la misma fórmula molecular pero con una disposición diferente de sus átomos, afectando su función y rol en los organismos.",,,,,Shikimic acid,,,,,,,,
3-Hydroxybenzoic acid,Ácido 3-Hidroxibenzoico,L-Leucine,"La L-leucina es un aminoácido esencial, lo que significa que es vital para la salud humana pero no puede ser producido por el cuerpo, necesitando ser obtenido a través de la alimentación. Este aminoácido desempeña un papel crucial en la síntesis de proteínas y en la regulación del crecimiento y la reparación de los tejidos musculares. En las plantas, la L-leucina no solo contribuye a procesos generales de crecimiento, sino que también participa activamente en el metabolismo de defensa. Este aminoácido actúa como señalizador en la respuesta de las plantas a factores de estrés ambiental y ataques de patógenos, ayudando a activar diversas defensas químicas que protegen a la planta. Su presencia es fundamental tanto en la dieta humana como en la salud y resiliencia de las plantas.",,,,,Stearic acid,,,,,,,,
Ecgonine,Ecgnonina,D-Fructose,"La D-fructosa, más conocida como fructosa, es un monosacárido encontrado naturalmente en frutas, verduras y miel. Se caracteriza por ser extremadamente dulce, superando en dulzura a la glucosa y la sacarosa, el azúcar de mesa común. En la naturaleza, la fructosa desempeña un papel vital en la formación de la sacarosa, al unirse con una molécula de glucosa para formar este disacárido, que es una fuente importante de energía rápida tanto para plantas como para animales.

En los humanos, la fructosa se metaboliza principalmente en el hígado, donde se convierte en una fuente crucial de energía. No obstante, el consumo excesivo de fructosa, especialmente en forma de jarabe de alta fructosa en alimentos procesados, se ha vinculado con problemas de salud como obesidad, resistencia a la insulina y enfermedades cardíacas. A pesar de estos riesgos, cuando se consume en moderación y principalmente a través de fuentes naturales como las frutas, la fructosa puede ser parte de una dieta saludable, ofreciendo no solo energía sino también nutrientes esenciales, fibra y antioxidantes que contribuyen al bienestar general.",,,,,Tyrosine,,,,,,,,
2-Keto-l-gluconic acid,Ácido 2-Gluconico,L-Lysine,"La L-lisina es un aminoácido esencial para los humanos, lo que significa que debe obtenerse a través de la dieta porque el cuerpo no puede sintetizarlo. Este aminoácido es hidrofílico, lo que facilita su solubilidad en agua, y posee un carácter básico que contribuye a su participación activa en el transporte y almacenamiento de nitrógeno en los organismos. En las plantas, la L-lisina se sintetiza a partir del ácido aspártico, un proceso fundamental para la producción de proteínas y para la respuesta al estrés ambiental. Además, la L-lisina está involucrada en la formación de cadaverina mediante la degradación bacteriana, un proceso que ocurre durante la descomposición de tejidos. Este aminoácido es clave no solo en la nutrición y crecimiento de las plantas, sino también en la industria alimentaria y farmacéutica, donde se utiliza como suplemento nutricional y en la producción de enzimas y otros biomateriales.",,,,,Xylonic acid,,,,,,,,
Tetradecane,Ácido Tetradecano,L-Norleucine,"La L-Norleucina es un aminoácido que, aunque es un isómero de la leucina, no se incorpora en las proteínas durante la síntesis de estas. Sin embargo, juega un papel crucial en el metabolismo de las plantas, especialmente en procesos relacionados con el crecimiento y la asimilación de nitrógeno. Al ser hidrofílica, es decir, soluble en agua, la L-Norleucina facilita diversas reacciones bioquímicas en el entorno acuoso de las células vegetales. Este aminoácido es de interés en la investigación agrícola y botánica debido a su impacto en la nutrición vegetal y en la optimización de los cultivos. Su estudio también es relevante para entender cómo las plantas responden y se adaptan a diferentes condiciones ambientales y de disponibilidad de nutrientes.",,,,,"13-Octadecenoic acid, (E)-",,,,,,,,
D-Allose,D-Allosa,L-Phenylalanine,"La L-fenilalanina es un aminoácido esencial. En las plantas, desempeña un papel crucial como precursor en la síntesis de fenilpropanoides, que son compuestos orgánicos vitales implicados en la formación de estructuras como la lignina. La lignina es fundamental para proporcionar rigidez y resistencia estructural en las paredes celulares de las plantas, además de participar en su defensa contra patógenos. La importancia de la L-fenilalanina en la bioquímica vegetal y su impacto en la resistencia y salud de las plantas la convierten en un foco de interés tanto en la investigación botánica como en la agricultura, donde su estudio puede ayudar a mejorar la resistencia y calidad de los cultivos.",,,,,Phytol,,,,,,,,
2-hexenoic acid,Ácido 2-Hexenoico,L-Proline,"La L-prolina es un aminoácido no esencial que desempeña un papel clave en el metabolismo de las plantas y los animales. En las plantas, la L-prolina es crucial para la respuesta al estrés, especialmente en condiciones de sequía y salinidad, donde actúa como un osmoprotector ayudando a las células a mantener su equilibrio hídrico. Además, participa en la síntesis de proteínas importantes para el desarrollo de tejidos vegetales.

En los humanos y otros animales, la L-prolina es fundamental para la síntesis de colágeno, un componente esencial del cartílago, piel, y tejido conectivo. Esto la hace vital para la reparación de tejidos, la cicatrización de heridas y la salud de las articulaciones. Su capacidad para estabilizar la estructura del colágeno influye directamente en la elasticidad y firmeza de la piel, lo que la convierte en un ingrediente popular en suplementos dietéticos y productos cosméticos destinados a mejorar la salud de la piel y las articulaciones.",,,,,Iminodiacetic Acid,,,,,,,,
Myo-Inositol,Ácido Mioinositol,Hydracrylic acid,"El ácido acrílico, también conocido como ácido propenoico, es un compuesto orgánico caracterizado por ser un líquido claro, incoloro y de olor acre. Su estructura contiene un grupo carboxilo vinculado a un enlace doble carbono-carbono, lo que lo hace altamente reactivo y útil en la industria química. A nivel industrial, el ácido acrílico es primordial en la fabricación de polímeros y copolímeros, particularmente en la producción de resinas acrílicas y plásticos, pinturas, adhesivos, y textiles debido a su capacidad de formar estructuras estables y duraderas cuando se polimeriza.

En el contexto biológico, aunque no es un componente predominante del metabolismo en las plantas, su relevancia en aplicaciones tecnológicas y su presencia en entornos industriales pueden afectar los ecosistemas naturales. En la agricultura, los polímeros derivados del ácido acrílico se utilizan para mejorar la eficiencia del agua y los nutrientes en los suelos agrícolas mediante la creación de sustratos de liberación controlada. Esto demuestra cómo un compuesto químico principalmente industrial puede tener aplicaciones indirectas en la biología de las plantas y la gestión ambiental.",,,,,"2,3,4-Trihydroxybutyric acid",,,,,,,,
alpha-Linolenic acid,Ácido Alfalinoleico,L-Threonine,"L-treonina es un aminoácido esencial de carácter polar. Este aminoácido se forma a partir del ácido aspártico en las plantas, y es abundante en alimentos como las lentejas y la carne de pescado. En las plantas, la L-treonina desempeña un papel crucial en la síntesis de proteínas y en el metabolismo general, ayudando a regular el crecimiento y el desarrollo.

Además de su importancia en la nutrición humana, la L-treonina es vital para mantener la salud y la función adecuada del sistema inmunitario y del aparato digestivo en los animales. En la industria, se utiliza como suplemento en la alimentación animal para promover un crecimiento más eficiente y saludable. Su capacidad para ser convertida en otros aminoácidos importantes como la metionina y la lisina amplía su papel en el metabolismo y en la reparación de tejidos, haciendo de la L-treonina un componente esencial en múltiples procesos biológicos tanto en plantas como en animales.}",,,,,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",,,,,,,,
4-hydroxybenzoic acid,Ácido 4-Hidroxibenzoico,Xylitol,"El xilitol, también conocido como azúcar de abedul, es un polialcohol, o azúcar alcohol, obtenido por la reducción del azúcar xilosa mediante hidrogenación catalítica. La xilosa se obtiene comercialmente por hidrólisis de la hemicelulosa de la madera de abedul.",,,,,,,,,,,,,
Benzoylecgonine,Ácido Benzoilecgonineo,L-Valine,"L-valina es un aminoácido esencial que no puede ser producido por el cuerpo humano y, por lo tanto, debe ser obtenido a través de la dieta. Las plantas lo sintetizan a partir del ácido pirúvico, un compuesto clave en el metabolismo de los carbohidratos. La L-valina está presente en una variedad de alimentos, incluidos el plátano, frutos rojos y el chocolate, y fue inicialmente aislada de la caseína, una proteína de la leche.

Este aminoácido juega un papel crítico en el soporte del tejido muscular en los animales, incluidos los humanos, ayudando en la reparación y el crecimiento muscular. Su importancia se extiende al metabolismo energético y a la regulación de los niveles de azúcar en la sangre. En el ámbito agrícola y de la nutrición animal, la L-valina se añade a menudo a los piensos para promover un crecimiento saludable y eficiente del ganado. Su presencia es vital para mantener un equilibrio de nitrógeno adecuado en el cuerpo, lo que es esencial para los procesos metabólicos que sustentan la vida.",,,,,,,,,,,,,
trans-Cinnamoylcocaine,Trans-Cinamoilcocaína,Malic acid,"El ácido málico es un ácido orgánico que juega un papel crucial en el metabolismo de las plantas, particularmente en el ciclo de Krebs, donde facilita la producción de energía a nivel celular. Es famoso por ser uno de los principales contribuyentes al sabor ácido de las manzanas, aunque también se encuentra en una gran variedad de frutas y verduras. Además de su presencia natural, el ácido málico es ampliamente utilizado en la industria alimentaria como aditivo para ajustar la acidez de alimentos y bebidas, mejorando así su sabor y estabilidad. También se valora en cosméticos por sus propiedades exfoliantes, ayudando a eliminar las células muertas de la piel y promoviendo una apariencia más saludable y rejuvenecida.",,,,,,,,,,,,,
Heptadecane,Ácido Heptadecaneo,Meso-Erythritol,"El meso-eritritol es un polialcohol utilizado frecuentemente como sustituto del azúcar, apreciado por su dulzor y bajo contenido calórico. Se origina naturalmente a través del catabolismo de la glucosa en algunos procesos biológicos. En la industria, se produce principalmente mediante la fermentación de glucosa utilizando una levadura especial llamada Moniliella pollinis. Este edulcorante es popular en alimentos y bebidas dietéticas debido a que no eleva los niveles de azúcar en la sangre como lo hacen otros azúcares, lo que lo hace ideal para diabéticos y aquellos que buscan opciones de bajo índice glucémico. Además, es resistente a la caries dental, lo que contribuye a su uso en productos de higiene bucal como pastas dentales y enjuagues bucales.",,,,,,,,,,,,,
"9-Octadecenamide, (Z)-",Ácido 9-Octadecenamideo,Methyl Palmitate,"El metil palmitato es un éster metílico derivado del ácido palmítico, un ácido graso saturado que contiene 16 átomos de carbono. Es un componente frecuente en las membranas celulares, donde contribuye a la estructura y estabilidad de las células. Además de su presencia biológica, el metil palmitato tiene aplicaciones prácticas en la industria, incluyendo su uso en la fabricación de cosméticos y productos de cuidado personal. Este compuesto también es utilizado en la industria química como agente emoliente y suavizante, y en algunos casos, como disolvente orgánico debido a sus propiedades no polares.",,,,,,,,,,,,,
2-Aminobutanoic acid,Ácido 2-Aminobutanoico,Methyl Stearate,"El estearato de metilo es un éster que se forma a partir del ácido esteárico, un ácido graso saturado, y el alcohol metílico. Aunque similar en estructura al metil palmitato, se diferencia en la longitud de su cadena de carbono, lo que influye en sus propiedades físicas y su función. Este compuesto es crucial en la composición y estructura de las membranas celulares, donde ayuda a mantener la integridad y la fluidez de la membrana. En la industria, el estearato de metilo se emplea ampliamente en la producción de jabones, cosméticos, y como lubricante debido a su capacidad para formar una película suave y protectora, lo que lo hace útil en diversas formulaciones de productos para el cuidado personal y otros usos industriales.",,,,,,,,,,,,,
2-Propenoic acid,Ácido 2-Propenoico,Methylsuccinic acid,"El ácido metilsuccínico es un ácido dicarboxílico, una variante del ácido succínico en el que uno de los hidrógenos ha sido reemplazado por un grupo metilo. Esta modificación le confiere propiedades químicas únicas, incluyendo una mayor solubilidad en ciertos solventes en comparación con su precursor no metilado. En el metabolismo de las plantas, los succinatos, incluido el ácido metilsuccínico, juegan un papel en el ciclo del ácido cítrico, que es esencial para la producción de energía celular. Industrialmente, este ácido se utiliza en la formulación de aerosoles y otros productos químicos debido a su capacidad para actuar como un solvente y estabilizador. En la naturaleza, contribuye a diversos procesos bioquímicos en plantas y microorganismos, ayudando a regular el balance energético y la respuesta a condiciones ambientales.",,,,,,,,,,,,,
Pipecolic acid,Ácido Pipecolico,Myo-Inositol,"El mioinositol es un tipo de azúcar alcohólico que desempeña un papel crucial en la estructura y función de las membranas celulares de las plantas. Comúnmente se encuentra integrado en los lípidos de las membranas, donde se le conoce como parte de la ""cabeza"" de los lípidos fosfatados. Esta estructura permite que el mioinositol participe activamente en procesos de señalización celular, facilitando la comunicación dentro de la célula y entre células en respuesta a estímulos externos. Además, el mioinositol es fundamental en la regulación del balance osmótico y en la respuesta al estrés en las plantas. Por su capacidad de influir en múltiples rutas metabólicas y señales celulares, este compuesto también es estudiado por sus posibles aplicaciones en medicina y en la mejora de cultivos agrícolas.",,,,,,,,,,,,,
2-Hydroxybutyric acid,Ácido 2-Hidroxibutirico,Niacin,"La niacina, también conocida como vitamina B3, es una vitamina hidrosoluble esencial para el metabolismo humano y de las plantas. En las plantas, la niacina es crucial para la síntesis de las coenzimas NAD (nicotinamida adenina dinucleótido) y NADP (nicotinamida adenina dinucleótido fosfato), que juegan roles fundamentales en las reacciones de oxidación-reducción implicadas en la fotosíntesis y la respiración celular. En los humanos, la niacina ayuda a convertir los nutrientes en energía, mantiene la piel, el sistema nervioso y el sistema digestivo saludables, y puede mejorar los niveles de colesterol. Además, debido a sus efectos en el metabolismo y la circulación, la niacina se utiliza en suplementos dietéticos y en el tratamiento de ciertas condiciones cardiovasculares.",,,,,,,,,,,,,
Hydracrylic acid,Ácido Hidracrilico,N-Methyl-L-proline,"La N-metil-L-prolina es un aminoácido modificado que se sintetiza a partir del ácido glutámico en plantas y animales. A diferencia de los aminoácidos comunes, presenta una modificación que le otorga características apolares, lo que significa que es insoluble en agua. En el metabolismo de las plantas, esta particularidad puede influir en la manera en que las proteínas interactúan y se organizan, afectando procesos como la respuesta al estrés y la adaptación al entorno. Aunque no es uno de los aminoácidos que comúnmente forman parte de las proteínas como la hemoglobina, su presencia en sistemas biológicos es un ejemplo de la diversidad química que utilizan las células para realizar funciones específicas. Este aminoácido puede tener aplicaciones en biotecnología, particularmente en el diseño de péptidos y proteínas con propiedades específicas.",,,,,,,,,,,,,
Phosphoric acid,Ácido Fosforico,"N-Methyl-L-proline, pentyl ester","El N-metil-L-prolinapentil éster es un éster derivado del aminoácido prolina. Este compuesto se encuentra en las membranas celulares, donde desempeña un papel importante en la estabilidad y funcionalidad de estas estructuras. Al estar modificado con un grupo pentil, este éster puede afectar la fluidez y la dinámica de las membranas, lo cual es crucial para procesos como el transporte de moléculas y la comunicación celular. En aplicaciones prácticas, estudios de este tipo de compuestos pueden ofrecer perspectivas sobre cómo manipular propiedades de membrana para mejorar la resistencia al estrés en plantas o para diseñar sistemas de liberación de fármacos en el campo médico. Su presencia en las membranas subraya la importancia de los lípidos modificados en la biología celular y la adaptación al entorno.",,,,,,,,,,,,,
Propanoic acid,Ácido Propanoico,Nonadecane,"El nonadecano es un tipo de alcano, un hidrocarburo saturado que consta de 19 átomos de carbono. Este compuesto se encuentra de forma natural en las paredes celulares de algunas plantas, donde contribuye a la estructura y a la impermeabilización de las células. La presencia de nonadecano ayuda a las plantas a protegerse contra la desecación y otros factores ambientales adversos, facilitando la retención de agua y la resistencia a la penetración de patógenos. Debido a sus propiedades hidrofóbicas, el nonadecano también puede ser utilizado en aplicaciones industriales como lubricantes o en la formulación de productos que requieran barreras protectoras contra la humedad.",,,,,,,,,,,,,
Mimosine l,Mimosina ,Octadecane,"El octadecano, comúnmente conocido como estearina, es un alcano saturado que consta de 18 átomos de carbono. Este compuesto se encuentra en las paredes celulares de muchas plantas, desempeñando un papel crucial en la protección y estructuración celular. Al formar parte de las ceras y otros compuestos lipídicos de las plantas, el octadecano ayuda a crear una barrera contra la pérdida de agua y la entrada de patógenos, mejorando la resistencia de la planta a condiciones ambientales adversas. Además de su función biológica, el octadecano tiene aplicaciones prácticas en la industria, donde se utiliza como componente en lubricantes, cosméticos y productos impermeabilizantes debido a sus propiedades hidrofóbicas y estabilizadoras.",,,,,,,,,,,,,
"Pyrrolidine, 2-butyl-1-methyl-",2-Butil-1-Metilprirrolidina,Octanoic acid,"El ácido octanoico, también conocido como ácido caprílico, es un ácido graso saturado que consiste en una cadena de 8 átomos de carbono. Este compuesto es naturalmente presente en el aceite de coco y en la leche de varios mamíferos, incluidos los humanos. En las plantas, juega un papel crucial en la regulación del metabolismo y en la síntesis de lípidos, siendo parte fundamental de la estructura de sus membranas celulares. Además de su importancia biológica, el ácido octanoico tiene aplicaciones prácticas en la industria alimentaria y cosmética, donde se utiliza por sus propiedades antimicrobianas y como ingrediente en productos para el cuidado de la piel, dado que ayuda a combatir bacterias y hongos de manera efectiva.",,,,,,,,,,,,,
L-Leucine,L-Leucina,Oleamide,"La oleamida es un lípido derivado del ácido oleico, que se encuentra naturalmente en el cerebro de los mamíferos y tiene un papel significativo en la regulación del sueño y el comportamiento. Funciona como un potente inductor del sueño, influyendo en el sistema nervioso para promover la relajación y la somnolencia. Además, la oleamida tiene efectos en la modulación del sistema inmune y en la activación de receptores de serotonina, lo que afecta el estado de ánimo y las respuestas emocionales. Este compuesto también se estudia por sus posibles aplicaciones terapéuticas en trastornos del sueño y condiciones relacionadas con el sistema inmunológico y nervioso. Su capacidad para interactuar con varios sistemas biológicos la hace un objeto de interés en la investigación médica y farmacéutica.",,,,,,,,,,,,,
"N-Methyl-L-proline, pentyl ester",N-Metil-L-Prolinapentil Ester ,"Oleic, (E)-","El ácido oleico es un ácido graso monoinsaturado perteneciente a la serie omega-9, conocido por su presencia en abundancia en varios aceites vegetales, como el aceite de oliva, de cáñamo y de aguacate. Este compuesto desempeña un papel crucial en la nutrición humana y la salud de las plantas, contribuyendo a la integridad y función de las membranas celulares. En la dieta, el ácido oleico es valorado por sus beneficios para la salud cardiovascular, ya que puede ayudar a reducir los niveles de colesterol malo mientras incrementa los niveles de colesterol bueno. Además, debido a su estabilidad y resistencia a la oxidación, el ácido oleico es frecuentemente utilizado en la industria alimentaria y cosmética, mejorando la textura y prolongando la vida útil de los productos.",,,,,,,,,,,,,
Ethanolamine,Etanolamina,Oxalic acid,"El ácido oxálico, también conocido como sal de limón o sal amarga, es un ácido orgánico dicarboxílico de dos átomos de carbono. Este ácido se encuentra naturalmente en muchos alimentos de origen vegetal, como la espinaca, el ruibarbo, y las remolachas, donde puede estar presente en altas concentraciones. En las plantas, el ácido oxálico se combina con minerales como el calcio para formar oxalato de calcio, una sustancia que puede contribuir a la formación de cristales y que, en los seres humanos, está relacionado con la formación de cálculos renales. A pesar de sus efectos potencialmente nocivos en exceso, en cantidades moderadas el ácido oxálico participa en varios procesos metabólicos y defensivos en las plantas.",,,,,,,,,,,,,
L-Norleucine,L-Norleucina ,Palmitic Acid,"El ácido palmítico, también conocido como palmitato, es uno de los ácidos grasos saturados más comunes y abundantes tanto en plantas como en animales. En las plantas, se encuentra principalmente en los aceites y ceras que forman parte de las membranas celulares y sirve como fuente de energía almacenada. En los seres humanos y otros animales, el ácido palmítico es un componente crucial de las grasas corporales y desempeña roles fundamentales en la estructura celular y como fuente de energía. A pesar de su importancia biológica, el consumo excesivo de ácido palmítico en la dieta ha sido asociado con un aumento del riesgo de enfermedades cardiovasculares debido a su capacidad para elevar los niveles de colesterol en la sangre.",,,,,,,,,,,,,
Glycine,Ácido Glicineo,palmitoleic acid,"El ácido palmitoleico es un ácido graso monoinsaturado de la serie omega-7, presente naturalmente en diversos aceites vegetales y en el tejido adiposo humano. Este ácido graso cumple funciones importantes en el metabolismo al actuar como un agente señalizador que puede influir en los procesos de inflamación y metabolismo de las grasas. En las plantas, el ácido palmitoleico es un componente de las grasas y aceites, donde contribuye a la integridad y funcionalidad de las membranas celulares. En la nutrición humana, se le atribuyen propiedades beneficiosas para la salud cardiovascular y se estudia por su potencial para mejorar el perfil lipídico en la sangre y reducir el riesgo de diabetes tipo 2.",,,,,,,,,,,,,
Tropine,Ácido Tropineo,Pentadecane,"El pentadecano es un alcano que consta de 15 átomos de carbono, formando parte de los compuestos saturados lineales. En las plantas, se encuentra en pequeñas cantidades en las paredes celulares, donde contribuye a la estructura y la barrera hidrofóbica que protege a la planta contra patógenos y la pérdida excesiva de agua. Aunque no es muy abundante, su presencia en las paredes celulares es crucial para mantener la integridad estructural y la funcionalidad de las membranas. Además, en aplicaciones industriales, el pentadecano puede ser utilizado como estándar en estudios químicos y como componente en productos cosméticos debido a sus propiedades estabilizadoras y emolientes.",,,,,,,,,,,,,
Methylsuccinic acid,Ácido Metilsuccinico,Putrescine,"la putrescina, nombre común de la 1,4-butanodiamina o 1,4-diaminobutano, es una diamina de fórmula NH₂(CH₂)₄NH₂. La putrescina —al igual que su análoga la cadaverina— fueron descritas por primera vez en 1885 por el médico berlinés Ludwig Brieger. Tiene un fuerte olor a putrefacción.  Es un producto del catabolismo de os aminoacidos por bacterias y hongos. Tambien es un intermediario biosintetico de varios metabolitos en las plantas. ",,,,,,,,,,,,,
"2-Butenedioic acid, (E)-",Ácido 2-Butenedioico,Phytosphingosine1,"La fitoesfingosina es una base esfingoide, un componente fundamental de los esfingolípidos más complejos. Es abundante en plantas y hongos y está presente en animales. También se ha descubierto que la fitoesfingosina tiene interesantes propiedades antiinflamatorias relacionadas con las células T en modelos de enfermedad inflamatoria intestinal.",,,,,,,,,,,,,
"2,3-Dihydroxybutanoic acid","Ácido 2,3-Dihidroxibutanoico",Propanoic acid,"El ácido 2-propenoico, conocido en la industria y la química como ácido acrílico, es un ácido orgánico que se caracteriza por ser incoloro y tener un olor fuerte y penetrante. Este ácido es el más simple de los ácidos carboxílicos insaturados, lo que significa que contiene un doble enlace en su estructura molecular, lo cual afecta sus propiedades y reactividad.

El ácido acrílico se utiliza ampliamente en la fabricación de plásticos, pinturas, adhesivos y otros productos poliméricos a través de un proceso de polimerización, donde las moléculas del ácido se unen formando cadenas largas. Esto lo convierte en un componente esencial en la producción de resinas acrílicas y poliacrilatos, que son materiales valorados por su resistencia al agua y su durabilidad. Además de su uso industrial, el ácido acrílico también se explora en aplicaciones médicas y sanitarias, como en la fabricación de absorbentes en pañales y otros productos higiénicos debido a su capacidad para formar geles que retienen líquidos.",,,,,,,,,,,,,
Ethyl .alpha.-D-glucopyranoside,D-Glucurpiranosa,"Pyrrolidine, 2-butyl-1-methyl-","La 1-metil-2-pirrolidona desempeña un papel como disolvente aprótico polar. La 1-metil-2-pirrolidona es una N-alquilpirrolidina, una lactama y un miembro de las pirrolidin-2-onas.",,,,,,,,,,,,,
Butanoic acid,Ácido Butanoico,quinic acid(S),"Es un ácido cristalino obtenido principalmente de la corteza de quina, granos de café, y otros productos vegetales y hecha sintéticamente por hidrólisis de ácido clorogénico. El ácido quínico también está implicado en la acidez percibida del café. Es un constituyente de los taninos de Caesalpinia spinosa.",,,,,,,,,,,,,
L-Aspartic acid,Ácido Aspartico,Serine,"La L-serina es un aminoácido no esencial con propiedades polares, que juega un papel crucial tanto en el metabolismo de las plantas como en el de los animales. En las plantas, se sintetiza principalmente a partir de la glicina o mediante la conversión de gliceratos, un subproducto del metabolismo de la glucosa. Este aminoácido está involucrado en numerosas funciones celulares, incluyendo la síntesis de proteínas y el funcionamiento de diversas enzimas que son esenciales para el crecimiento y la respuesta al estrés ambiental.

En los seres humanos y otros animales, la L-serina es fundamental para la producción de fosfolípidos necesarios para la formación de las membranas celulares. Además, contribuye a la síntesis de neurotransmisores y desempeña un papel en el sistema inmunológico. Su capacidad para actuar como precursor de otros aminoácidos y compuestos bioactivos la hace esencial en numerosos procesos biológicos, incluyendo la regulación de la función nerviosa y muscular. Por estas razones, la L-serina es un componente valioso en suplementos nutricionales y en investigaciones biomédicas.",,,,,,,,,,,,,
.beta.-Alanine,Beta Alanina,Stearic acid,"El ácido esteárico es un ácido graso saturado de 18 átomos de carbono presente en aceites vegetales, grasas animales y vegetales. ",,,,,,,,,,,,,
